City,Property_name,Category,Booking_platform,Check_in_date,Total_successful_bookings,Total_capacity,Occupancy%,column1
Mumbai,Atliq Exotica,Luxury,logtrip,26-Jun-22,157665,171611,0.9187348130364603,26 Jun 2022
Delhi,Atliq City,Business,direct offline,22-Jun-22,10080,23940,0.42105263157894735,22 Jun 2022
Delhi,Atliq City,Business,makeyourtrip,08-Jul-22,42964,88730,0.4842105263157895,08 Jul 2022
Delhi,Atliq Blu,Luxury,tripster,24-Jun-22,12760,23287,0.547945205479452,24 Jun 2022
Delhi,Atliq Blu,Luxury,others,01-May-22,125370,130743,0.958904109589041,01 May 2022
Delhi,Atliq Blu,Luxury,direct online,03-Jun-22,16226,31171,0.5205479452054794,03 Jun 2022
Delhi,Atliq Blu,Luxury,direct offline,02-May-22,10442,16571,0.6301369863013698,02 May 2022
Delhi,Atliq Blu,Luxury,direct offline,01-May-22,15890,16571,0.958904109589041,01 May 2022
Delhi,Atliq Blu,Luxury,journey,02-May-22,11822,18761,0.6301369863013698,02 May 2022
Delhi,Atliq Bay,Luxury,journey,05-May-22,13207,27538,0.47959183673469385,05 May 2022
Mumbai,Atliq Grands,Luxury,logtrip,07-Jul-22,31920,58140,0.5490196078431373,07 Jul 2022
Mumbai,Atliq Grands,Luxury,logtrip,24-May-22,29640,58140,0.5098039215686274,24 May 2022
Mumbai,Atliq Grands,Luxury,journey,28-Jul-22,12986,30804,0.4215686274509804,28 Jul 2022
Mumbai,Atliq Grands,Luxury,direct offline,20-Jun-22,9576,23256,0.4117647058823529,20 Jun 2022
Mumbai,Atliq City,Business,tripster,10-May-22,26846,53259,0.5040650406504065,10 May 2022
Mumbai,Atliq City,Business,direct online,15-Jun-22,36108,75276,0.4796747967479675,15 Jun 2022
Mumbai,Atliq City,Business,others,07-Jun-22,161568,301104,0.5365853658536586,07 Jun 2022
Mumbai,Atliq City,Business,logtrip,15-Jun-22,39058,81426,0.4796747967479675,15 Jun 2022
Mumbai,Atliq Blu,Luxury,direct online,23-Jul-22,33768,45560,0.7411764705882353,23 Jul 2022
Mumbai,Atliq Blu,Luxury,direct offline,05-Jun-22,19532,21845,0.8941176470588236,05 Jun 2022
Mumbai,Atliq Blu,Luxury,tripster,06-May-22,18356,30005,0.611764705882353,06 May 2022
Mumbai,Atliq Bay,Luxury,direct online,11-May-22,12096,27888,0.43373493975903615,11 May 2022
Mumbai,Atliq Bay,Luxury,direct online,05-May-22,11760,27888,0.42168674698795183,05 May 2022
Mumbai,Atliq Palace,Business,others,04-Jul-22,176528,269984,0.6538461538461539,04 Jul 2022
Mumbai,Atliq Palace,Business,makeyourtrip,09-May-22,86988,137072,0.6346153846153846,09 May 2022
Hyderabad,Atliq Grands,Luxury,makeyourtrip,27-Jun-22,42210,85358,0.4945054945054945,27 Jun 2022
Hyderabad,Atliq Grands,Luxury,others,05-Jun-22,115456,164164,0.7032967032967034,05 Jun 2022
Hyderabad,Atliq Grands,Luxury,logtrip,30-Jul-22,23613,42133,0.5604395604395604,30 Jul 2022
Hyderabad,Atliq Grands,Luxury,logtrip,02-Jun-22,18520,42133,0.43956043956043955,02 Jun 2022
Hyderabad,Atliq Exotica,Luxury,journey,01-Jul-22,17385,39040,0.4453125,01 Jul 2022
Hyderabad,Atliq Exotica,Luxury,logtrip,23-Jul-22,37824,75648,0.5,23 Jul 2022
Hyderabad,Atliq Exotica,Luxury,tripster,07-Jul-22,20829,50304,0.4140625,07 Jul 2022
Hyderabad,Atliq Exotica,Luxury,makeyourtrip,09-May-22,55650,134400,0.4140625,09 May 2022
Hyderabad,Atliq Exotica,Luxury,direct online,21-May-22,31350,70400,0.4453125,21 May 2022
Hyderabad,Atliq Exotica,Luxury,direct online,18-May-22,23650,70400,0.3359375,18 May 2022
Hyderabad,Atliq City,Business,logtrip,21-May-22,64641,80987,0.7981651376146789,21 May 2022
Hyderabad,Atliq City,Business,logtrip,08-May-22,73557,80987,0.908256880733945,08 May 2022
Hyderabad,Atliq City,Business,direct online,25-Jul-22,35112,67144,0.5229357798165137,25 Jul 2022
Hyderabad,Atliq Blu,Luxury,makeyourtrip,11-Jun-22,127908,138244,0.9252336448598131,11 Jun 2022
Hyderabad,Atliq Bay,Luxury,makeyourtrip,28-Jun-22,115206,178717,0.6446280991735537,28 Jun 2022
Hyderabad,Atliq Bay,Luxury,journey,06-Jul-22,32908,52393,0.628099173553719,06 Jul 2022
Hyderabad,Atliq Bay,Luxury,direct offline,05-Jun-22,43956,47916,0.9173553719008265,05 Jun 2022
Hyderabad,Atliq Palace,Business,others,17-Jun-22,89325,192545,0.4639175257731959,17 Jun 2022
Hyderabad,Atliq Palace,Business,others,26-May-22,97265,192545,0.5051546391752577,26 May 2022
Hyderabad,Atliq Palace,Business,journey,07-Jun-22,14592,29488,0.4948453608247423,07 Jun 2022
Hyderabad,Atliq Palace,Business,journey,01-Jun-22,12160,29488,0.41237113402061853,01 Jun 2022
Hyderabad,Atliq Palace,Business,direct online,14-Jul-22,21550,41807,0.5154639175257731,14 Jul 2022
Hyderabad,Atliq Palace,Business,makeyourtrip,03-Jun-22,40026,92441,0.4329896907216495,03 Jun 2022
Hyderabad,Atliq Palace,Business,direct offline,29-May-22,13108,21922,0.5979381443298969,29 May 2022
Hyderabad,Atliq Palace,Business,direct offline,13-May-22,10848,21922,0.4948453608247423,13 May 2022
Bangalore,Atliq Grands,Luxury,makeyourtrip,30-Jun-22,39780,94588,0.4205607476635514,30 Jun 2022
Bangalore,Atliq Grands,Luxury,journey,22-Jun-22,9324,27713,0.3364485981308411,22 Jun 2022
Bangalore,Atliq Grands,Luxury,tripster,10-Jun-22,14535,34561,0.4205607476635514,10 Jun 2022
Bangalore,Atliq Grands,Luxury,direct offline,22-May-22,13578,23433,0.5794392523364486,22 May 2022
Bangalore,Atliq Exotica,Luxury,makeyourtrip,24-Jul-22,54988,88540,0.6210526315789474,24 Jul 2022
Bangalore,Atliq Exotica,Luxury,makeyourtrip,23-Jul-22,55920,88540,0.631578947368421,23 Jul 2022
Bangalore,Atliq Exotica,Luxury,others,09-Jul-22,136010,184585,0.7368421052631579,09 Jul 2022
Bangalore,Atliq Exotica,Luxury,logtrip,28-Jul-22,19773,48165,0.4105263157894737,28 Jul 2022
Bangalore,Atliq Exotica,Luxury,logtrip,10-May-22,24843,48165,0.5157894736842106,10 May 2022
Bangalore,Atliq City,Business,direct online,13-Jul-22,39808,61578,0.6464646464646465,13 Jul 2022
Bangalore,Atliq City,Business,direct offline,17-May-22,15808,30096,0.5252525252525253,17 May 2022
